table	field	description	missing_value_policy
Table_S3_dataset_orthogroup_mapping_coverage.tsv	species	Governed species name.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	panel	Frozen root, leaf, or vascular panel; blank when no governed panel mapping exists.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	tissue	Recorded or proposed tissue when available.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	feature_namespace	Feature identifier namespace and mapping target.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	total_features	Source feature denominator.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	gene_mapped_features	Features mapped to reference-gene candidates.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	mapped_features	Features assigned to candidate orthogroups.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	mapping_fraction	Authority orthogroup-assigned features divided by total features.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	mapping_fraction_recomputed	Independently recomputed mapped_features/total_features.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	fraction_absolute_difference	Absolute recorded-versus-recomputed fraction difference.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	reference_version	Reference-protein selection version.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	bridge_version	Gene and orthogroup bridge versions.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	discovery_eligibility	Frozen dataset-panel inclusion status.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	eligibility_reason	Frozen reason for inclusion or exclusion.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	matrix_layer	H5AD matrix layer used by the executed feature workflow.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	matrix_type	Expression class and storage kind.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	expression_dtype	Recorded expression data type.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	source_h5ad_path	Read-only source H5AD path.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	source_annotation_path	Original annotation source path recorded in the manifest.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	source_annotation_sha256	SHA-256 of the original annotation source.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	mapping_source_path	Repository-relative mapping record filenames.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	mapping_source_sha256	Mapping-record SHA-256 values.	Blank means unavailable or not applicable; never interpret as zero.
Table_S3_dataset_orthogroup_mapping_coverage.tsv	missing_value_reason	Reason mapped counts/fraction remain blank.	Blank means unavailable or not applicable; never interpret as zero.
